epoch,train_loss,train_acc,test_loss,test_acc
1,0.7357421940231323,0.75108,0.4626277444601059,0.8404
2,0.510879311504364,0.82774,0.4035217542171478,0.8656
3,0.4449119453382492,0.84882,0.37981839804649353,0.8745
4,0.3923208952856064,0.86634,0.3511719088315964,0.8805
5,0.3482446219921112,0.8816,0.3420903913021088,0.8828
6,0.3077039423561096,0.89446,0.3063801798462868,0.8973
7,0.2746083160614967,0.9059,0.28214942237734797,0.9041
8,0.23785127719521523,0.91806,0.2695190061748028,0.9076
9,0.20240072219014169,0.92902,0.263535604006052,0.9121
10,0.17194756955504417,0.94028,0.24479762213826178,0.9187
11,0.14460741558328272,0.94976,0.24363903118669986,0.9205
12,0.12306411153495311,0.95634,0.2314217924952507,0.9251
13,0.10308561331279575,0.96338,0.2235275394797325,0.9279
14,0.08959160389319062,0.96876,0.22610368117541074,0.9284
15,0.08508473284959793,0.96984,0.22718925210386515,0.9305
